repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
katanaml/sparrow,Applications,Workflow automation,3535,1,0.03%,45,1.27%,367,Data processing with ML and LLM,"abaranovskis-redsamurai, RockyNiu",2,2022-01-08,2024-08-31,0
Maplemx/Agently,AI engineering,Agent,1083,1,0.09%,13,1.20%,122,[AI Agent Application Development Framework] - 🚀 Build AI agent native application in very few code 💬 Easy to interact with AI agent in code using structure data and chained-calls syntax 🧩 Enhance AI Agent using plugins instead of rebuild a whole new agent,"Maplemx, jsCONFIG, sujeek",12,2023-06-30,2024-10-09,0
princeton-nlp/SWE-bench,AI engineering,Evals,1824,1,0.05%,18,0.99%,313,[ICLR 2024] SWE-Bench: Can Language Models Resolve Real-world Github Issues?,"john-b-yang, carlosejimenez, klieret",28,2023-10-04,2024-10-08,0
THUDM/ImageReward,Model repo,Multimodal,1126,1,0.09%,9,0.80%,62,[NeurIPS 2023] ImageReward: Learning and Evaluating Human Preferences for Text-to-image Generation,"xujz18, Xiao9905, tongyx361",8,2023-04-01,2024-09-26,0
nlmatics/nlm-ingestor,Applications,Info aggregation,1058,1,0.09%,8,0.76%,154,This repo provides the server side code for llmsherpa API to connect. It includes parsers for various file formats.,"jamesvillarrubia, ansukla, kiran-nlmatics",11,2024-01-17,2024-10-03,0
mlcommons/inference,AI engineering,Evals,1206,1,0.08%,9,0.75%,527,Reference implementations of MLPerf™ inference benchmarks,"guschmue, psyhtest, profvjreddi",100+,2018-09-13,2024-10-08,421
declare-lab/tango,Model repo,Multimodal,998,1,0.10%,7,0.70%,79,A family of diffusion models for text-to-audio generation.,"soujanyaporia, deepanwayx, nmder",7,2023-04-10,2024-05-02,0
google/maxtext,Model repo,,1491,1,0.07%,10,0.67%,279,"A simple, performant and scalable Jax LLM!","gobbleturk, raymondzouu, khatwanimohit",71,2023-02-28,2024-10-09,0
FasterDecoding/Medusa,Model development,Inference optimization,2245,1,0.04%,14,0.62%,154,Medusa: Simple Framework for Accelerating LLM Generation with Multiple Decoding Heads,"leeyeehoo, ctlllll, harveyp123",10,2023-09-10,2024-02-27,0
Lightning-AI/lightning-thunder,Model development,Inference optimization,1156,1,0.09%,7,0.61%,76,Make PyTorch models up to 40% faster! Thunder is a source to source compiler for PyTorch. It enables using different hardware executors at once; across one or thousands of GPUs.,"mruberry, t-vi, IvanYashchuk",48,2024-03-18,2024-09-23,0
Agenta-AI/agenta,AI engineering,AIE framework,1203,1,0.08%,7,0.58%,182,"The all-in-one LLM developer platform: prompt management, evaluation, human feedback, and deployment all in one place.","mmabrouk, aybruhm, bekossy",61,2023-04-26,2024-10-10,0
ysymyth/ReAct,AI engineering,Prompt engineering,1909,1,0.05%,11,0.58%,190,[ICLR 2023] ReAct: Synergizing Reasoning and Acting in Language Models,"ysymyth, john-b-yang",2,2022-11-13,2023-07-14,0
truera/trulens,AI engineering,Evals,2087,1,0.05%,12,0.57%,181,Evaluation and Tracking for LLM Experiments,"joshreini1, piotrm0, rshih32",52,2020-11-02,2024-10-10,0
apple/ml-4m,Model repo,,1577,1,0.06%,9,0.57%,93,4M: Massively Multimodal Masked Modeling,"roman-bachmann, dmizr, ofkar",7,2024-04-08,2024-07-05,0
zjunlp/EasyEdit,AI engineering,Prompt engineering,1824,1,0.05%,10,0.55%,217,[ACL 2024] An Easy-to-use Knowledge Editing Framework for LLMs.,"pengzju, XeeKee, tbozhong",40,2023-05-09,2024-09-26,0
google-research/scenic,Model development,Modeling & training,3287,1,0.03%,18,0.55%,428,Scenic: A Jax Library for Computer Vision Research and Beyond,"MostafaDehghani, anuragarnab, mjlm",72,2021-07-12,2024-10-07,0
IntelLabs/fastRAG,AI engineering,AIE framework,1293,1,0.08%,7,0.54%,117,Efficient Retrieval Augmentation and Generation Framework,"peteriz, danielfleischer, mosheber",9,2023-01-23,2024-09-12,0
kubeflow/katib,Model development,Modeling & training,1501,1,0.07%,8,0.53%,440,Automated Machine Learning on Kubernetes,"andreyvelich, gaocegege, hougangliu",100+,2018-04-03,2024-09-19,135
cheshire-cat-ai/core,AI engineering,AIE framework,2289,1,0.04%,12,0.52%,312,Production ready AI agent framework,"pieroit, Pingdred, zAlweNy26",65,2023-02-08,2024-10-07,0
THUDM/SwissArmyTransformer,Model repo,,974,1,0.10%,5,0.51%,92,SwissArmyTransformer is a flexible and powerful library to develop your own Transformer variants.,"1049451037, dm-thu, Sleepychord",23,2021-10-06,2024-02-01,0
Link-AGI/AutoAgents,AI engineering,Agent,1173,1,0.09%,6,0.51%,145,[IJCAI 2024] Generate different roles for GPTs to form a collaborative entity for complex tasks.,"iCGY96, shiyemin, s1w3",10,2023-08-21,2024-04-16,0
jaymody/picoGPT,Model repo,,3213,1,0.03%,16,0.50%,412,An unnecessarily tiny implementation of GPT-2 in NumPy.,"jaymody, certik, aletheap",5,2023-01-21,2023-04-04,0
NVIDIA/cutlass,Model development,Inference optimization,5478,1,0.02%,26,0.47%,927,CUDA Templates for Linear Algebra Subroutines,"hwu36, kerrmudgeon, ANIKET-SHIVAM",100+,2017-11-30,2024-10-09,0
KnowledgeCanvas/knowledge,Applications,Info aggregation,1347,1,0.07%,6,0.45%,93,"Knowledge is a tool for saving, searching, accessing, exploring and chatting with all of your favorite websites, documents and files.","RobRoyce, jedbrooke",3,2021-07-10,2024-02-01,0
AetherCortex/Llama-X,Model development,Modeling & training,1597,1,0.06%,7,0.44%,102,Open Academic Research on Improving LLaMA to SOTA LLM,"AetherCortex, victorsungo, Wangpeiyi9979",13,2023-03-30,2023-05-03,0
alexrudall/ruby-openai,AI engineering,AI interface,2747,1,0.04%,12,0.44%,322,OpenAI API + Ruby! 🤖❤️,"alexrudall, dependabot-preview[bot], willywg",60,2020-08-03,2024-10-10,0
baaivision/Emu,Model repo,Multimodal,1629,1,0.06%,7,0.43%,85,Emu Series: Generative Multimodal Models from BAAI,"yqy2001, Quan-Sun, ryanzhangfan",7,2023-07-11,2023-12-26,0
databricks/megablocks,Model development,Modeling & training,1182,1,0.08%,5,0.42%,171,,"tgale96, mvpatel2000, sashaDoubov",22,2023-01-26,2024-09-19,0
langchain-ai/langserve,Infrastructure,Serving,1902,1,0.05%,8,0.42%,212,LangServe 🦜️🏓,"eyurtsev, nfcampos, dqbd",24,2023-09-29,2024-09-18,107
miurla/morphic,Applications,Bots,6062,1,0.02%,25,0.41%,1529,An AI-powered search engine with a generative UI,"miurla, casistack, leerob",22,2024-04-05,2024-10-04,0
allenai/RL4LMs,Model development,Modeling & training,2194,1,0.05%,9,0.41%,191,A modular RL library to fine-tune language models to human preferences,"rajcscw, jmhessel, rajammanabrolu",6,2022-08-18,2023-03-30,0
AI4Finance-Foundation/FinRL-Meta,Model development,Dataset engineering,1264,1,0.08%,5,0.40%,585,FinRL­-Meta: Dynamic datasets and market environments for FinRL.,"zhumingpassional, rayrui312, YangletLiu",35,2021-02-16,2024-10-08,0
seatgeek/thefuzz,AI engineering,Dataset engineering,2809,1,0.04%,11,0.39%,138,Fuzzy String Matching in Python,"maxbachmann, hugovk, johnthedebs",13,2021-03-05,2024-02-27,0
smallcloudai/refact,Applications,Coding,1563,1,0.06%,6,0.38%,104,WebUI for Fine-Tuning and Self-hosting of Open-Source Large Language Models for Coding ,"mitya52, olegklimov, oxyplay",13,2023-04-19,2024-09-12,0
AGI-Edgerunners/LLM-Adapters,Model development,Modeling & training,1056,1,0.09%,4,0.38%,99,"Code for our EMNLP 2023 Paper: ""LLM-Adapters: An Adapter Family for Parameter-Efficient Fine-Tuning of Large Language Models""","HZQ950419, demoleiwang, LYH-YF",5,2023-03-29,2024-03-10,0
sobelio/llm-chain,AI engineering,AIE framework,1322,1,0.08%,5,0.38%,130,`llm-chain` is a powerful rust crate for building chains in large language models allowing you to summarise text and complete complex tasks,"williamhogman, Juzov, danbev",38,2023-03-24,2024-07-29,0
Haidra-Org/AI-Horde,Infrastructure,Compute management,1066,1,0.09%,4,0.38%,131,A crowdsourced distributed cluster for AI art and text generation,"db0, tazlin, ResidentChief",34,2022-09-13,2024-10-06,0
intel/neural-compressor,Model development,Inference optimization,2186,1,0.05%,8,0.37%,252,"SOTA low-bit LLM quantization (INT8/FP8/INT4/FP4/NF4) & sparsity; leading model compression techniques on TensorFlow, PyTorch, and ONNX Runtime","chensuyue, guomingz, mengniwang95",100+,2020-07-21,2024-10-10,0
google-research/deduplicate-text-datasets,AI engineering,Dataset engineering,1108,1,0.09%,4,0.36%,110,,"carlini, daphnei, alistairewj",5,2021-07-16,2024-05-21,0
Farama-Foundation/PettingZoo,AI engineering,Agent,2583,1,0.04%,9,0.35%,409,"An API standard for multi-agent reinforcement learning environments, with popular reference environments and related utilities","jkterry1, benblack769, jjshoots",100+,2020-01-20,2024-08-03,0
hustvl/Vim,Model repo,Multimodal,2878,1,0.03%,10,0.35%,189,[ICML 2024] Vision Mamba: Efficient Visual Representation Learning with Bidirectional State Space Model,"Unrealluver, LegendBC, xinggangw",4,2024-01-15,2024-01-19,0
Coframe/coffee,Applications,Coding,1459,1,0.07%,5,0.34%,67,Build and iterate on your UI 10x faster with AI - right from your own IDE ☕️,"joshpxyne, tunahfishy, 1um",7,2023-11-04,2024-05-02,0
Vchitect/SEINE,Model repo,Multimodal,897,1,0.11%,3,0.33%,64,[ICLR 2024] SEINE: Short-to-Long Video Diffusion Model for Generative Transition and Prediction,"xinyuanc91, wyhsirius, eltociear",3,2023-09-22,2024-01-17,0
Nutlope/restorePhotos,Applications,Image production,3897,1,0.03%,13,0.33%,597,Restoring old and blurry face photos with AI.,"Nutlope, ljwagerfield, Nick-h4ck3r",6,2023-01-08,2023-12-21,0
xlang-ai/OpenAgents,Applications,Workflow automation,3943,1,0.03%,13,0.33%,435,[COLM 2024] OpenAgents: An Open Platform for Language Agents in the Wild,"taoyds, Timothyxxx, BlankCheng",16,2023-08-08,2024-05-28,0
huggingface/llm-vscode,Applications,Coding,1215,1,0.08%,4,0.33%,132,LLM powered development for VSCode,"McPatate, antoinejeannot, HennerM",6,2023-02-16,2024-07-17,0
google/generative-ai-swift,AI engineering,AIE framework,912,1,0.11%,3,0.33%,146,The official Swift library for the Google Gemini API,"andrewheard, peterfriese, keertk",17,2023-04-25,2024-08-22,0
allenai/open-instruct,Model development,Modeling & training,1218,1,0.08%,4,0.33%,166,,"hamishivi, yizhongw, vwxyzjn",17,2023-06-09,2024-10-10,0
google/gemma_pytorch,Model repo,Multimodal,5264,1,0.02%,17,0.32%,504,The official PyTorch implementation of Google's Gemma models,"pengchongjin, michaelmoynihan, Mon-ius",14,2024-02-20,2024-07-11,0
vespa-engine/vespa,Infrastructure,VectorDB,5699,1,0.02%,18,0.32%,593,"AI + Data, online. https://vespa.ai","baldersheim, jonmv, bjorncs",86,2016-06-03,2024-10-10,36801
thunlp/OpenDelta,Model development,Modeling & training,990,1,0.10%,3,0.30%,79,A plug-and-play library for parameter-efficient-tuning (Delta Tuning),"ShengdingHu, Achazwl, ningding97",15,2022-02-14,2024-09-19,0
lucidrains/self-rewarding-lm-pytorch,Model development,Modeling & training,1322,1,0.08%,4,0.30%,73,"Implementation of the training framework proposed in Self-Rewarding Language Model, from MetaAI","lucidrains, Control-derek, Dyke-F",5,2024-01-19,2024-04-11,0
nmslib/hnswlib,Infrastructure,VectorDB,4319,1,0.02%,13,0.30%,637,Header-only C++/python library for fast approximate nearest neighbors,"yurymalkov, dyashuni, dbespalov",49,2017-07-06,2024-07-21,0
leap-ai/headshots-starter,Applications,Image production,3801,1,0.03%,11,0.29%,649,,"Marfuen, claudfuen, alexschachne",16,2023-09-05,2024-09-22,0
instill-ai/vdp,AI engineering,AIE framework,2093,1,0.05%,6,0.29%,97,"🔮 Instill Core is a full-stack AI infrastructure tool for data, model and pipeline orchestration, designed to streamline every aspect of building versatile AI-first applications","pinglin, donch1989, droplet-bot",23,2022-01-13,2024-10-08,0
predibase/lorax,Infrastructure,Serving,2133,1,0.05%,6,0.28%,140,Multi-LoRA inference server that scales to 1000s of fine-tuned LLMs,"OlivierDehaene, tgaddair, magdyksaleh",58,2023-10-20,2024-10-08,64
nhaouari/obsidian-textgenerator-plugin,Applications,Writing,1452,1,0.07%,4,0.28%,129,"Text Generator is a versatile plugin for Obsidian that allows you to generate text content using various AI providers, including OpenAI, Anthropic, Google and local models.","haouarihk, nhaouari, ckt1031",19,2022-02-27,2024-09-25,519923
google-research/FLAN,Model repo,,1466,1,0.07%,4,0.27%,153,,"lehougoogle, Shayne13, shayne-longpre",6,2021-08-21,2023-06-02,0
tatsu-lab/alpaca_eval,AI engineering,Evals,1467,1,0.07%,4,0.27%,234,"An automatic evaluator for instruction-following language models. Human-validated, high-quality, cheap, and fast.","YannDubs, rtaori, lxuechen",75,2023-05-25,2024-09-26,0
hegelai/prompttools,AI engineering,Prompt engineering,2654,1,0.04%,7,0.26%,230,"Open-source tools for prompt testing and experimentation, with support for both LLMs (e.g. OpenAI, LLaMA) and vector databases (e.g. Chroma, Weaviate, LanceDB).","steventkrawczyk, NivekT, HashemAlsaket",12,2023-06-25,2024-03-29,22
bigscience-workshop/promptsource,AI engineering,Prompt engineering,2661,1,0.04%,7,0.26%,350,"Toolkit for creating, sharing and using natural language prompts.","VictorSanh, stephenbach, craffel",62,2021-05-19,2023-10-23,0
agiresearch/OpenAGI,AI engineering,Agent,1936,1,0.05%,5,0.26%,161,OpenAGI: When LLM Meets Domain Experts,"TobyGE, evison, dongyuanjushi",17,2023-04-08,2024-09-02,0
salesforce/CodeT5,Model repo,,2750,1,0.04%,7,0.25%,403,Home of CodeT5: Open Code LLMs for Code Understanding and Generation,"yuewang-cuhk, svc-scm",2,2021-08-16,1000-01-01,0
zjunlp/KnowLM,Model repo,Multilingual,1216,1,0.08%,3,0.25%,123,An Open-sourced Knowledgable Large Language Model Framework.,"MikeDean2367, zxlzr, 12lxr",25,2023-04-01,2024-01-19,0
openai/guided-diffusion,Model repo,Multimodal,6121,1,0.02%,15,0.25%,814,,"unixpickle, LeeDoYup, prafullasd",5,2021-04-27,2022-07-15,0
OpenPipe/OpenPipe,Model development,Modeling & training,2483,1,0.04%,6,0.24%,131,Turn expensive prompts into cheap fine-tuned models,"corbt, arcticfly, Kovbo",12,2023-06-20,2024-03-19,0
yerfor/GeneFace,Model repo,Multimodal,2520,1,0.04%,6,0.24%,294,GeneFace: Generalized and High-Fidelity 3D Talking Face Synthesis; ICLR 2023; Official code,"yerfor, SouthTea, xk-huang",4,2023-02-03,2024-07-08,6647
facebookresearch/nougat,Applications,Info aggregation,8851,1,0.01%,21,0.24%,561,Implementation of Nougat Neural Optical Understanding for Academic Documents,"lukas-blecher, rajveer43, erip",14,2023-06-07,2023-09-18,86700
OpenLMLab/MOSS-RLHF,Model development,Modeling & training,1277,1,0.08%,3,0.23%,99,MOSS-RLHF,"Ablustrund, fakerbaby, CiaranZhou",5,2023-07-05,2024-03-03,0
postgresml/postgresml,AI engineering,AI interface,5965,1,0.02%,14,0.23%,298,Postgres with GPUs for ML/AI apps.,"levkk, montanalow, SilasMarvin",43,2022-04-11,2024-10-09,0
gorilla-llm/gorilla-cli,Applications,Coding,1280,1,0.08%,3,0.23%,75,LLMs for your CLI,"ShishirPatil, philipmat, royh02",5,2023-06-20,2023-10-19,0
yuchenlin/LLM-Blender,Model development,Modeling & training,868,1,0.12%,2,0.23%,75,"[ACL2023] We introduce LLM-Blender, an innovative ensembling framework to attain consistently superior performance by leveraging the diverse strengths of multiple open-source LLMs. LLM-Blender cut the weaknesses through ranking and integrate the strengths through fusing generation to enhance the capability of LLMs.","jdf-prog, yuchenlin",2,2023-05-31,1000-01-01,0
alpa-projects/alpa,Model development,Modeling & training,3059,1,0.03%,7,0.23%,353,Training and serving large-scale neural networks with auto parallelization.,"merrymercy, zhisbug, ZYHowell",43,2021-02-22,2023-12-09,5137
whylabs/whylogs,Infrastructure,Monitoring,2641,1,0.04%,6,0.23%,118,"An open-source data logging library for machine learning models and data pipelines. 📚 Provides visibility into data quality & model performance over time. 🛡️ Supports privacy-preserving data collection, ensuring safety & robustness. 📈","jamie256, FelipeAdachi, richard-rogers",23,2020-08-14,2024-10-08,122
khoj-ai/khoj,Applications,Info aggregation,12738,1,0.01%,28,0.22%,650,"Your AI second brain, open and self-hostable. Get answers to your questions, whether they be online or in your own notes. Use online AI models (e.g gpt4) or private, local LLMs (e.g llama3).","debanjum, sabaimran, MythicalCow",36,2021-08-16,2024-10-07,38335
google-deepmind/alphageometry,Model repo,Multimodal,4108,1,0.02%,9,0.22%,461,,thtrieu,1,2023-10-09,1000-01-01,0
epfLLM/meditron,Model repo,,1856,1,0.05%,4,0.22%,169,Meditron is a suite of open-source medical Large Language Models (LLMs).,"eric11eca, AGBonnet, jpcorb20",11,2023-11-23,2024-04-10,0
google-deepmind/tree,AI engineering,Dataset engineering,936,1,0.11%,2,0.21%,58,tree is a library for working with nested data structures,"superbobry, rishabhkabra, copybara-github",18,2019-10-08,2024-08-28,0
SuperDuperDB/superduperdb,Infrastructure,Data management,4687,1,0.02%,10,0.21%,451,"Superduper: Integrate AI models and machine learning workflows with your database to implement custom AI applications, without moving your data. Including streaming inference, scalable model hosting, training and vector search.","blythed, kartik4949, rec",42,2022-08-30,2024-10-10,70
bigscience-workshop/petals,Model development,Inference optimization,9135,1,0.01%,19,0.21%,513,"🌸 Run LLMs at home, BitTorrent-style. Fine-tuning and inference up to 10x faster than offloading","borzunov, justheuristic, dbaranchuk",17,2022-06-12,2024-08-25,0
CalculatedContent/WeightWatcher,AI engineering,Evals,1455,1,0.07%,3,0.21%,125,The WeightWatcher tool for predicting the accuracy of   Deep Neural Networks,"charlesmartin14, cdhinrichs, reserena",6,2018-11-28,2023-02-12,0
Syan-Lin/CyberWaifu,Applications,Bots,1001,1,0.10%,2,0.20%,115,LLM + TTS 的真实感聊天机器人 | QQ 机器人 | 支持表情包、QQ 表情、联网搜索,Syan-Lin,1,2023-04-16,1000-01-01,0
ricklamers/shell-ai,Applications,Coding,1003,1,0.10%,2,0.20%,60,LangChain powered shell command generator and runner CLI,"ricklamers, ksfi, Elijas",9,2023-08-20,2024-05-24,0
kyrolabs/awesome-langchain,Tutorials,,7527,1,0.01%,15,0.20%,518,😎 Awesome list of tools and projects with the awesome LangChain framework,"sbusso, MCKevmeister, seawatts",47,2023-02-28,2024-07-20,0
ekzhu/datasketch,AI engineering,Dataset engineering,2532,1,0.04%,5,0.20%,295,"MinHash, LSH, LSH Forest, Weighted MinHash, HyperLogLog, HyperLogLog++, LSH Ensemble and HNSW","ekzhu, vmarkovtsev, aastafiev",27,2015-03-20,2024-03-26,27
